RMS,Mean,Variance,CrestFactor,Energy,DominantFreq,Skewness,Kurtosis,ZeroCrossingRate,PeakToPeak,SignalEntropy,SpectralFlux,RMSFreq,Label
0.07084778,-0.000535607,0.005024026,2.065439,5.139874,602.9297,-0.3366613,1.884485,0.03027344,0.2572632,6.57145,3227.51,2.267129,1
0.07944804,-0.000639111,0.006317751,2.021623,6.463479,602.9297,-0.2781107,1.802477,0.02929688,0.2919312,7.103602,4234.291,2.542337,1
0.05922904,0.00058943,0.003511159,2.255236,3.592273,602.9297,-0.3221367,1.811331,0.02832031,0.2275391,6.598627,1827.843,1.895329,1
0.08094725,-0.001261115,0.006557271,1.996999,6.709716,602.9297,-0.2340851,1.741339,0.02929688,0.2966614,6.17954,4513.075,2.590312,1
0.08660679,-0.000697523,0.00750758,2.132892,7.680753,602.9297,-0.2392727,1.789116,0.02832031,0.3325195,6.891065,5655.24,2.771417,1
0.08953731,0.001165926,0.008023405,1.842903,8.209335,602.9297,-0.1339549,1.771013,0.02832031,0.322113,6.611066,6500.799,2.865194,1
0.09205987,-0.000705421,0.008482805,1.892517,8.678419,602.9297,-0.05946128,1.717319,0.02929688,0.3254089,6.612114,6676.826,2.945915,1
0.08411283,0.000995576,0.007080892,1.952319,7.244767,602.9297,-0.2424456,1.843311,0.02832031,0.3079834,6.407446,5073.024,2.69161,1
0.08079077,0.001345634,0.006531714,2.238086,6.6838,602.9297,-0.1814542,1.87105,0.02929688,0.317688,6.464876,4443.436,2.585304,1
0.07981125,-0.000578463,0.006375726,1.965391,6.522712,602.9297,-0.1275728,1.779846,0.03027344,0.291748,6.830105,3780.644,2.55396,1
0.08370173,-0.001408488,0.007010839,2.092799,7.174123,602.9297,-0.2824102,1.778518,0.02929688,0.3145142,6.017963,5062.197,2.678456,1
0.0808138,-0.001060247,0.006536124,2.080732,6.687611,602.9297,-0.2279241,1.844187,0.02929688,0.3099976,6.397936,4250.846,2.58604,1
0.07444707,-0.000851482,0.005547058,2.08118,5.675383,602.9297,-0.2082873,1.799151,0.02929688,0.2888184,6.308986,3562.739,2.382306,1
0.08258348,0.001225621,0.006825192,2.161786,6.983711,602.9297,-0.1933453,1.848208,0.03125,0.3464966,6.588065,4702.871,2.642671,1
0.07995567,0.000362814,0.006399027,2.020239,6.54634,602.9297,-0.2108022,1.763797,0.02929688,0.3068237,7.063224,4258.385,2.558581,1
0.08120846,-0.001032233,0.006600194,1.903768,6.753089,602.9297,-0.1484545,1.703059,0.02929688,0.2879333,5.955854,4469.858,2.598671,1
0.08561358,-0.001193911,0.007335421,1.873896,7.505597,602.9297,-0.1237136,1.701248,0.02929688,0.3104553,5.754344,5450,2.739633,1
0.08289848,0.001392901,0.006876932,1.888149,7.03709,602.9297,-0.1052852,1.779533,0.02832031,0.3118286,5.921968,5403.788,2.65275,1
0.08171057,0.001205981,0.006681685,1.940996,6.836856,602.9297,-0.1807269,1.806632,0.02832031,0.3019714,6.762068,4924.365,2.614737,1
0.08089388,-0.000752568,0.006549647,1.83987,6.700871,602.9297,-0.1334224,1.782613,0.02832031,0.2944946,6.750985,4438.163,2.588603,1
0.08336607,-0.001086205,0.006955513,2.005682,7.116699,602.9297,-0.1397744,1.857251,0.02832031,0.3277588,6.659431,5576.771,2.667713,1
0.09201004,-0.001319021,0.008472379,1.832845,8.669027,602.9297,-0.1349441,1.76399,0.03027344,0.3281555,6.555269,7591.717,2.94432,1
0.07372718,-0.000897318,0.005440204,1.857285,5.566154,602.9297,-0.1899437,1.768997,0.03027344,0.2592468,5.906792,3260.574,2.359269,1
0.08395857,-0.00076595,0.007055342,1.880665,7.218218,602.9297,-0.1879196,1.745242,0.02929688,0.2943115,6.014797,4885.238,2.686673,1
0.09001318,0.000836253,0.00810959,1.870454,8.296828,602.9297,-0.09725022,1.760262,0.02929688,0.3200684,6.978272,7303.1,2.880421,1
0.08785804,0.000731558,0.007726042,1.905915,7.904291,602.9297,-0.08940104,1.779305,0.02929688,0.3329468,6.686791,6120.452,2.811456,1
0.07970557,0.000997007,0.00635819,1.951917,6.505449,602.9297,-0.1484087,1.841565,0.02929688,0.3095093,6.85153,4726.619,2.550577,1
0.08377983,-0.000934869,0.007025045,1.900341,7.187517,602.9297,-0.1797172,1.805861,0.02929688,0.317688,6.819719,5366.183,2.680954,1
0.07728411,0.000710338,0.005978167,2.174183,6.116182,602.9297,-0.2131926,1.805122,0.02929688,0.2934265,6.928597,3682.612,2.473091,1
0.07403587,0.001130193,0.005485388,2.018131,5.612862,602.9297,-0.3226193,1.865398,0.02929688,0.272644,6.268902,3831.682,2.369148,1
0.07393857,-0.000940383,0.005471369,1.98364,5.598118,602.9297,-0.1907564,1.805896,0.03027344,0.2832336,5.85441,3461.889,2.366035,1
0.07985532,-0.001333535,0.006381326,1.868767,6.529918,602.9297,-0.1793843,1.735296,0.02929688,0.2858582,6.419342,4173.467,2.55537,1
0.07784415,0.001051545,0.006064527,1.857459,6.205145,602.9297,-0.16456,1.790442,0.03125,0.2840271,6.265285,4168.606,2.491012,1
0.07893216,0.001479328,0.006234184,1.948231,6.379812,602.9297,-0.1704325,1.852808,0.02832031,0.2979126,6.22157,4424.626,2.525828,1
0.06407794,-0.001185149,0.004108588,1.991231,4.204525,602.9297,-0.2673827,1.774788,0.02929688,0.2345581,6.247162,2219.884,2.050493,1
0.07890746,0.000123739,0.006232456,2.082657,6.375821,602.9297,-0.233492,1.811796,0.02832031,0.3093567,6.744923,3977.081,2.525039,1
0.07601915,0.000997335,0.005783563,2.09073,5.917604,602.9297,-0.2696094,1.872801,0.02929688,0.2959595,6.477774,3541.57,2.432612,1
0.07676411,0.000904352,0.005897669,2.081572,6.034154,602.9297,-0.2637804,1.807135,0.02832031,0.2944641,6.574215,3711.845,2.456451,1
0.07333036,-0.001111656,0.005381361,2.033802,5.506398,602.9297,-0.2714686,1.874377,0.02929688,0.2658081,7.153272,2965.842,2.346571,1
0.06767905,0.000145674,0.004584909,2.280734,4.690385,602.9297,-0.3555163,1.863842,0.03125,0.2598572,7.040761,2653.65,2.165729,1
0.06762379,0.000726581,0.004576916,2.326824,4.682728,602.9297,-0.3587203,1.934879,0.02929688,0.2796936,7.143739,2482.681,2.163961,1
0.07003707,0.000548333,0.004909685,1.9839,5.022916,602.9297,-0.2654565,1.828133,0.02929688,0.2682495,7.109169,3053.215,2.241186,1
0.07172316,0.000286251,0.005149155,2.024487,5.267672,602.9297,-0.2915805,1.827543,0.02832031,0.2658386,7.17309,3057.765,2.29514,1
0.06847756,0.00035888,0.004693629,1.996994,4.801717,602.9297,-0.2705669,1.845397,0.02929688,0.2642822,6.985585,2522.838,2.191282,1
0.0774224,0.000720084,0.005999567,2.101714,6.138088,602.9297,-0.1683143,1.858992,0.02929688,0.3116455,6.861736,3654.022,2.477516,1
0.06595333,2.72E-05,0.004354093,2.067872,4.454238,602.9297,-0.2612512,1.795216,0.02832031,0.2450562,6.491388,2468.84,2.110507,1
0.0794175,-0.000165433,0.006313276,2.032007,6.458511,602.9297,-0.2549827,1.800062,0.02929688,0.2876587,7.078374,4119.9,2.541359,1
0.08091869,0.0008609,0.006553493,1.930573,6.704983,602.9297,-0.2283978,1.736382,0.02832031,0.2950134,6.380901,4538.424,2.589398,1
0.0744213,-0.000121415,0.00554393,1.878918,5.671455,602.9297,-0.2916055,1.787437,0.02929688,0.2716064,7.119533,3548.248,2.381481,1
0.0805349,-0.000903249,0.006491391,2.012908,6.641531,602.9297,-0.2293821,1.850575,0.03027344,0.3164673,6.578939,4840.72,2.577117,1
0.08130336,0.000120074,0.006616681,2.116248,6.768882,602.9297,-0.2452841,1.858209,0.02929688,0.3056946,7.290974,4473.656,2.601707,1
0.07679217,-0.000650823,0.005902376,2.062531,6.038566,602.9297,-0.2062176,1.758845,0.02929688,0.2838135,7.125303,3657.882,2.457349,1
0.076446,3.70E-05,0.0058497,1.905403,5.984246,602.9297,-0.1839785,1.750816,0.02929688,0.2758789,7.197023,3890.497,2.446271,1
0.07831706,-0.00106582,0.006138418,1.949894,6.280767,602.9297,-0.1845679,1.776612,0.02929688,0.2829285,6.099212,4271.973,2.506146,1
0.08219687,0.000185669,0.006762895,2.088046,6.918478,602.9297,-0.1683631,1.817217,0.02929688,0.3204651,7.384498,5255.78,2.6303,1
0.08534914,-0.000556976,0.007291284,1.908664,7.459302,602.9297,-0.1370012,1.754738,0.02929688,0.319458,6.972972,5679.536,2.731172,1
0.06101876,0.000822336,0.003726249,2.036547,3.812648,602.9297,-0.2638655,1.878834,0.02929688,0.2255249,6.81929,1824.214,1.9526,1
0.08688926,0.000665188,0.00755668,1.942268,7.730937,602.9297,-0.2587025,1.807539,0.02832031,0.3060913,7.003689,6152.073,2.780456,1
0.08046111,0.001319557,0.006478576,2.122092,6.629367,602.9297,-0.2170462,1.817572,0.02929688,0.3139343,5.85671,4773.742,2.574754,1
0.07846582,-0.000983477,0.006161933,1.904193,6.30465,602.9297,-0.1844318,1.771674,0.03027344,0.2946472,6.512118,3815.005,2.510906,1
0.08024225,-0.000586003,0.006444769,1.943425,6.59335,602.9297,-0.1180791,1.763042,0.02832031,0.2981262,6.790571,4543.372,2.567752,1
0.07654995,-0.001082718,0.005864448,1.885673,6.000532,602.9297,-0.2145217,1.767828,0.03027344,0.2816772,6.227606,3610.416,2.449598,1
0.06895626,0.000703365,0.004759117,2.008799,4.869084,602.9297,-0.267663,1.803383,0.02832031,0.2640381,6.589117,2360.794,2.2066,1
0.06491902,-0.000987202,0.004217621,1.970134,4.315626,602.9297,-0.3527488,1.844691,0.02929688,0.2321472,5.946461,2171.077,2.077407,1
0.05945899,0.000449151,0.003538624,2.044805,3.62022,602.9297,-0.3811255,1.877277,0.02832031,0.213562,6.227057,1856.248,1.902687,1
0.05665563,-6.09E-05,0.003212994,2.008627,3.286898,602.9297,-0.1374785,1.899782,0.02832031,0.2259827,6.819765,1386.671,1.81298,1
0.05751306,0.000594944,0.00331063,2.258849,3.387138,602.9297,-0.2421406,1.945078,0.02832031,0.2288513,6.903706,1821.018,1.840418,1
0.06021222,-4.97E-05,0.003629052,2.264533,3.712523,602.9297,-0.2127288,2.09333,0.03222656,0.2652283,7.251048,1875.117,1.926791,1
0.05392396,-0.000610501,0.002910263,2.066803,2.977581,602.9297,-0.1585454,1.971755,0.03027344,0.2190552,6.59012,1450.345,1.725566,1
0.05443096,-0.000457227,0.002965415,2.470854,3.033835,602.9297,-0.1275324,2.088858,0.02929688,0.2428589,6.810991,1703.57,1.74179,1
0.05485659,0.000748873,0.003011626,2.100091,3.081468,602.9297,-0.186484,1.949844,0.02832031,0.227478,6.450262,1490.49,1.755411,1
0.0845015,0.000124604,0.007147466,2.079131,7.311876,602.9297,-0.09400078,1.812252,0.02929688,0.3299866,7.110951,5845.375,2.704047,1
0.05547064,0.000394225,0.003079844,2.232538,3.150839,602.9297,-0.09969371,1.952987,0.03027344,0.2302856,7.212553,1508.56,1.77506,1
0.05447585,-0.00090009,0.002969707,2.103005,3.038841,602.9297,-0.1263563,1.971086,0.03027344,0.2181396,6.989924,1794.012,1.743227,1
0.05405448,0.001013607,0.002923713,2.305707,2.992012,602.9297,0.004670665,2.113554,0.03222656,0.2489624,6.573934,1684.442,1.729743,1
0.05552052,-0.000864029,0.003084793,1.946907,3.156508,602.9297,-0.08565548,1.80539,0.03125,0.2127991,5.851214,1482.015,1.776656,1
0.05907137,-0.000409365,0.003492669,2.081987,3.573173,602.9297,-0.2391683,1.86891,0.03027344,0.2246399,6.828395,1773.73,1.890283,1
0.06460992,-0.000840545,0.004177813,2.210059,4.274628,602.9297,-0.2590993,1.890836,0.03125,0.2489014,6.465376,2163.414,2.067517,1
0.06226829,0.00071767,0.003880614,2.114774,3.970397,602.9297,-0.3351764,1.956438,0.03125,0.2379761,6.77757,2125.218,1.992585,1
0.06351651,-0.000960469,0.004037368,2.119339,4.131172,602.9297,-0.2276701,1.909341,0.03027344,0.260376,6.256892,2259.715,2.032528,1
0.06214528,0.000720769,0.00386529,1.969184,3.954725,602.9297,-0.3156251,1.82208,0.02832031,0.2286377,6.537114,1807.799,1.988649,1
0.06488936,0.000735134,0.004214203,2.189725,4.311683,602.9297,-0.3487335,1.926637,0.02929688,0.2510376,7.294029,2129.748,2.076459,1
0.06447609,0.000308543,0.004161132,2.133709,4.256938,602.9297,-0.3431456,1.848242,0.02832031,0.2435608,6.395437,1974.612,2.063234,1
0.0830702,0.000912339,0.006906567,2.000702,7.066273,602.9297,-0.2045148,1.755579,0.02832031,0.2991638,6.868486,4709.475,2.658247,1
0.06903025,4.66E-05,0.004769829,2.022119,4.879539,602.9297,-0.1890212,1.864351,0.02929688,0.2618103,7.288181,2389.851,2.208967,1
0.07134218,-6.19E-05,0.005094676,2.066953,5.211859,602.9297,-0.2533238,1.845366,0.03125,0.2826233,6.909999,3052.33,2.282949,1
0.07513183,-0.00085485,0.005649575,2.032966,5.780266,602.9297,-0.2784364,1.83659,0.03027344,0.2737122,6.90476,3780.253,2.404218,1
0.0737874,-0.001112908,0.005448663,2.074143,5.575251,602.9297,-0.2541321,1.831699,0.03222656,0.2875671,6.169361,3352.313,2.361197,1
0.07577131,-0.000415057,0.00574673,2.022656,5.879083,602.9297,-0.1626108,1.794688,0.02929688,0.2785645,6.699822,3861.097,2.424681,1
0.08424058,0.001264274,0.007101811,1.920015,7.266791,602.9297,-0.1293197,1.804284,0.02929688,0.320282,6.723639,5503.084,2.695698,1
0.07268258,-0.000326306,0.005287814,2.01204,5.409544,602.9297,-0.1634362,1.831584,0.02929688,0.276062,6.987433,2821.113,2.325843,1
0.0750263,-4.03E-05,0.005634446,2.191614,5.764041,602.9297,-0.1777044,1.842885,0.03125,0.304657,6.930274,3026.357,2.400841,1
0.0720546,-0.000685036,0.00519647,1.94148,5.31647,602.9297,-0.1985212,1.801692,0.03027344,0.2655029,7.055161,2756.338,2.305747,1
0.06431918,-0.000399381,0.004140841,2.068693,4.236244,602.9297,-0.3730665,1.828741,0.03027344,0.2460022,6.765469,2251.661,2.058213,1
0.06158979,0.000486046,0.003796773,2.112305,3.884341,602.9297,-0.3378271,1.91478,0.02832031,0.2420044,6.940765,1772.208,1.970873,1
0.0820934,-0.000968933,0.006744972,1.94384,6.901069,602.9297,-0.1745875,1.787622,0.02929688,0.3139954,6.9837,4749.712,2.626988,1
0.06191704,0.00049299,0.003837223,2.184437,3.92573,602.9297,-0.3432913,1.89314,0.02832031,0.2359314,6.539692,1905.435,1.981345,1
0.06447415,0.000395387,0.004160822,2.106794,4.256682,602.9297,-0.3562489,1.899011,0.02929688,0.252594,6.938415,2456.499,2.063172,1
0.06093767,-1.43E-06,0.003717029,1.999694,3.802521,602.9297,-0.286943,1.799181,0.02929688,0.2295837,7.088231,1939.125,1.950005,1
0.05857843,-0.000731617,0.003434249,2.164629,3.513787,602.9297,-0.1839509,1.818354,0.02929688,0.2270203,6.797597,1939.037,1.874509,1
0.03538386,-3.33E-05,0.00125324,2.647788,1.282066,947.4609,0.06521576,2.52172,0.05078125,0.1813354,6.688911,598.1042,1.132283,2
0.02190779,-7.47E-05,0.000480415,3.787571,0.49147,990.5273,-0.04016334,4.866003,0.046875,0.1608887,5.864108,218.7226,0.7010498,2
