RMS,Mean,Variance,CrestFactor,Energy,DominantFreq,Label
0.08733724,-0.008389235,0.007564801,2.430581,7.810861,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09156357,-0.01051804,0.008281349,2.618357,8.585102,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09801237,-0.003351182,0.00960457,2.586194,9.836978,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.07738747,0.001062363,0.005993542,2.512784,6.132551,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.07838406,0.00179708,0.006146831,2.536122,6.291517,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.07473713,-0.005331576,0.005562645,2.53901,5.719694,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.07914163,0.000183731,0.006269486,2.838068,6.41372,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.07666051,0.01156613,0.005748671,2.409622,6.017878,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1002518,-0.004169285,0.01004285,2.322946,10.29164,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09384216,-0.005937189,0.008779672,2.765836,9.017704,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09474076,-0.00250721,0.008978291,2.80918,9.191231,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1012143,-0.006092846,0.01021718,2.489606,10.49019,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1030953,-0.004457027,0.01061915,2.430268,10.88374,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1055393,-0.00741744,0.01109436,2.373701,11.40588,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09749366,-0.002876133,0.009506019,2.554253,9.733133,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09578455,-0.005195498,0.009156627,2.803737,9.394873,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09521824,-0.01073721,0.008959972,2.508564,9.284109,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09966845,0.01396796,0.009748211,2.28939,10.17221,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09424665,-0.007235438,0.008838708,2.543168,9.09561,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09949937,-0.002681851,0.009902602,3.066192,10.13773,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09434194,0.000568211,0.008908776,2.600119,9.114012,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09459203,0.000337929,0.008956282,2.371603,9.162397,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09936699,0.003259242,0.009872814,2.368816,10.11077,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09775852,0.002174318,0.009561335,2.263255,9.78609,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09608807,0.00601837,0.009205682,2.514122,9.454507,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09591621,0.005193174,0.009181915,2.417449,9.420717,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1004419,-0.000136048,0.01009842,2.4413,10.3307,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1055483,-0.003449649,0.01113941,2.411665,11.40781,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.089611,0.006757855,0.007992269,2.678134,8.222855,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1035815,0.005148321,0.01071309,2.415326,10.98663,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.1024973,0.01051041,0.0104054,2.239006,10.75784,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09411245,0.007450998,0.008810237,2.266628,9.069725,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09899765,0.002354801,0.009804564,2.664032,10.03575,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09156583,-0.003643155,0.008379209,2.829929,8.585524,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.08866491,-0.005117089,0.00784294,2.533239,8.050142,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.08978247,0.001339316,0.008066974,2.501366,8.254353,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.0943104,0.008030117,0.0088386,2.435313,9.107918,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09314333,0.009922147,0.008585611,2.537252,8.883896,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.09323303,0.003587723,0.008688011,2.39046,8.901015,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
0.0931252,-0.007649928,0.008622202,2.57576,8.880438,602.9297,C:\Users\sonar\Desktop\Assignments\sem7 project\Dataset\train_cut\engine1_good
