RMS,Mean,Variance,CrestFactor,Energy,DominantFreq,Skewness,Kurtosis,ZeroCrossingRate,PeakToPeak,SignalEntropy,SpectralFlux,RMSFreq,Label
0.2359168,0.01040483,0.05560277,2.906013,56.9925,602.9297,0.06709195,2.692841,0.06347656,1.215881,7.492556,43404.78,7.549337,1
0.07084147,-0.008466214,0.00495167,2.863441,5.138958,602.9297,0.02315352,2.583674,0.2333984,0.3979492,8.493014,2591.64,2.266926,1
0.1063907,0.002657115,0.01132298,3.163033,11.59064,602.9297,0.06204154,2.710177,0.2216797,0.615509,8.565762,8083.795,3.404502,1
0.1387116,0.002935618,0.01925109,2.896617,19.7027,516.7969,-0.3704229,2.923541,0.1904297,0.752594,7.98031,15942.72,4.438772,1
0.09347509,0.01246467,0.00859061,2.784533,8.947294,387.5977,-0.1695479,2.52529,0.1416016,0.5164795,8.381349,5668.004,2.991203,1
0.08400089,-0.007078975,0.007012885,2.537292,7.225496,602.9297,-0.1383298,2.269513,0.2373047,0.401062,8.705858,3824.935,2.688028,1
0.2036352,0.09511703,0.03245175,2.585153,42.46253,0,-0.1249712,2.814982,0.1054688,0.8905029,7.210096,16644.79,6.516327,3
0.2191628,-0.06948847,0.04324591,2.427061,49.1851,43.06641,0.06526615,2.117027,0.06542969,0.9110718,7.458596,36233.19,7.013207,3
0.2048506,0.03145841,0.0410142,2.250562,42.97091,602.9297,-0.01365702,1.875749,0.09667969,0.8654785,8.099207,37440.57,6.555219,3
0.2268111,-0.07701325,0.0455567,2.623199,52.67792,43.06641,-0.02273376,2.314519,0.04003906,0.989502,7.653962,37183.65,7.257956,3
0.2475231,-0.04770216,0.05904984,2.182019,62.73809,43.06641,0.02477668,2.128762,0.0546875,1.046967,7.495378,45292.24,7.920738,3
0.2514186,-0.1457359,0.04201338,2.287556,64.7284,0,0.07242832,2.297128,0.04296875,0.9269409,7.149051,40815.17,8.045395,3
0.2001678,-0.01941159,0.03972916,2.666372,41.02877,86.13281,-0.08896981,2.314515,0.06738281,0.9725342,8.144456,22675.43,6.405371,2
0.06347735,0.001134425,0.004032023,3.159576,4.126079,43.06641,-0.1245996,3.191562,0.2333984,0.3974609,8.737197,2359.544,2.031275,2
0.1164438,0.002070725,0.01356812,2.693657,13.88458,129.1992,0.01848308,2.455588,0.1220703,0.6013489,8.432693,5321.005,3.726201,2
0.07617422,0.001101166,0.005806969,3.168572,5.941772,4565.039,-0.06948103,2.823126,0.2089844,0.4815674,8.887712,3743.462,2.437575,2
0.1096232,0.001483947,0.0120268,3.001836,12.30567,602.9297,-0.01217107,2.556866,0.1386719,0.596344,8.489788,9110.219,3.507943,2
0.06122515,0.004442066,0.003732431,3.007139,3.838483,947.4609,0.04954247,2.894109,0.2128906,0.3615112,8.879482,2386.602,1.959204,2
